date,ticker,series_label,dataset_type,value,open,high,low,close,adj_close,volume,quality_notes	
2023-11-21,^VIX,cboe_volatility_index,equity,13.35000038,13.44999981,14.31000042,13.13000011,13.35000038,13.35000038,0,ok	
2023-11-27,^VIX,cboe_volatility_index,equity,12.68999958,13.14000034,13.27999973,12.64000034,12.68999958,12.68999958,0,ok	
2023-11-29,^VIX,cboe_volatility_index,equity,12.97999954,12.71000004,13.10000038,12.47999954,12.97999954,12.97999954,0,ok	
2023-11-30,^VIX,cboe_volatility_index,equity,12.92000008,13.06999969,13.39000034,12.81999969,12.92000008,12.92000008,0,ok	
2023-12-04,^VIX,cboe_volatility_index,equity,13.07999992,13.27999973,13.69999981,12.97999954,13.07999992,13.07999992,0,ok	
2023-12-06,^VIX,cboe_volatility_index,equity,12.97000027,12.77999973,13.02999973,12.64000034,12.97000027,12.97000027,0,ok	
2023-12-08,^VIX,cboe_volatility_index,equity,12.35000038,13.14000034,13.23999977,12.35000038,12.35000038,12.35000038,0,ok	
2023-12-11,^VIX,cboe_volatility_index,equity,12.63000011,13.05000019,13.14000034,12.60999966,12.63000011,12.63000011,0,ok	
2023-12-13,^VIX,cboe_volatility_index,equity,12.18999958,12.19999981,12.46000004,11.81999969,12.18999958,12.18999958,0,ok	
2023-12-15,^VIX,cboe_volatility_index,equity,12.27999973,12.11999989,12.53999996,12.01000023,12.27999973,12.27999973,0,ok	
2023-12-19,^VIX,cboe_volatility_index,equity,12.52999973,12.60000038,12.60000038,12.32999992,12.52999973,12.52999973,0,ok	
2023-12-20,^VIX,cboe_volatility_index,equity,13.67000008,12.63000011,13.93000031,12.28999996,13.67000008,13.67000008,0,ok	
2023-12-22,^VIX,cboe_volatility_index,equity,13.02999973,13.72000027,13.96000004,13,13.02999973,13.02999973,0,ok	
2023-12-26,^VIX,cboe_volatility_index,equity,12.98999977,13.77000046,13.80000019,12.96000004,12.98999977,12.98999977,0,ok	
2023-12-28,^VIX,cboe_volatility_index,equity,12.47000027,12.43999958,12.64999962,12.38000011,12.47000027,12.47000027,0,ok	
2024-01-03,^VIX,cboe_volatility_index,equity,14.03999996,13.35000038,14.22000027,13.32999992,14.03999996,14.03999996,0,ok	
2024-01-05,^VIX,cboe_volatility_index,equity,13.35000038,14.23999977,14.57999992,13.28999996,13.35000038,13.35000038,0,ok	
2024-01-09,^VIX,cboe_volatility_index,equity,12.76000023,13.19999981,13.44999981,12.73999977,12.76000023,12.76000023,0,ok	
2024-01-10,^VIX,cboe_volatility_index,equity,12.68999958,12.85999966,12.94999981,12.67000008,12.68999958,12.68999958,0,ok	
2024-01-12,^VIX,cboe_volatility_index,equity,12.69999981,12.65999985,13.07999992,12.47000027,12.69999981,12.69999981,0,ok	
