Price,Adj Close,Close,High,Low,Open,Volume,ticker,series_label
Ticker,^IRX,^IRX,^IRX,^IRX,^IRX,^IRX,,
date,,,,,,,,
2023-11-01,5.300000190734863,5.300000190734863,5.322999954223633,5.257999897003174,5.317999839782715,0,^IRX,3m_treasury_bill
2023-11-02,5.269999980926514,5.269999980926514,5.289999961853027,5.263000011444092,5.289999961853027,0,^IRX,3m_treasury_bill
2023-11-03,5.252999782562256,5.252999782562256,5.263000011444092,5.230000019073486,5.263000011444092,0,^IRX,3m_treasury_bill
2023-11-06,5.260000228881836,5.260000228881836,5.264999866485596,5.257999897003174,5.257999897003174,0,^IRX,3m_treasury_bill
2023-11-07,5.2729997634887695,5.2729997634887695,5.2779998779296875,5.2729997634887695,5.275000095367432,0,^IRX,3m_treasury_bill
2023-11-08,5.26800012588501,5.26800012588501,5.2779998779296875,5.26800012588501,5.275000095367432,0,^IRX,3m_treasury_bill
2023-11-09,5.263000011444092,5.263000011444092,5.26800012588501,5.255000114440918,5.26800012588501,0,^IRX,3m_treasury_bill
2023-11-10,5.25,5.25,5.257999897003174,5.244999885559082,5.257999897003174,0,^IRX,3m_treasury_bill
2023-11-13,5.260000228881836,5.260000228881836,5.260000228881836,5.248000144958496,5.248000144958496,0,^IRX,3m_treasury_bill
2023-11-14,5.252999782562256,5.252999782562256,5.28000020980835,5.248000144958496,5.28000020980835,0,^IRX,3m_treasury_bill
2023-11-15,5.255000114440918,5.255000114440918,5.257999897003174,5.224999904632568,5.25,0,^IRX,3m_treasury_bill
2023-11-16,5.243000030517578,5.243000030517578,5.248000144958496,5.230000019073486,5.248000144958496,0,^IRX,3m_treasury_bill
